filename	year	category	title	url
01_llms4ol_2025_overview.pdf	2025	overview	LLMs4OL 2025 Overview: The 2nd Large Language Models for Ontology Learning Challenge	https://www.tib-op.org/ojs/index.php/ocp/article/download/2913/2922/52931
02_sbu_nlp_llms4ol_2025_stage_wise_ontology_construction.pdf	2025	prompt-pipeline	SBU-NLP at LLMs4OL 2025 Tasks A, B, and C: Stage-Wise Ontology Construction Through LLMs Without any Training Procedure	https://www.tib-op.org/ojs/index.php/ocp/article/download/2887/2933/53026
03_labkag_llms4ol_2025_context_rich_prompting.pdf	2025	prompt-pipeline	LABKAG at LLMs4OL 2025 Tasks A and C: Context-Rich Prompting for Ontology Construction	https://www.tib-op.org/ojs/index.php/ocp/article/download/2891/2931/53024
04_alexbek_llms4ol_2025_heterogeneous_methods.pdf	2025	prompt-pipeline	Alexbek at LLMs4OL 2025 Tasks A, B, and C: Heterogeneous LLM Methods for Ontology Learning (Few-Shot Prompting, Ensemble Typing, and Attention-Based Taxonomies)	https://www.tib-op.org/ojs/index.php/ocp/article/download/2899/2927/52962
05_ellmo_llms4ol_2025_term_type_relationship_extraction.pdf	2025	term-extraction-relation-extraction	ELLMO at LLMs4OL 2025 Tasks A and D: LLM-Based Term, Type, and Relationship Extraction	https://www.tib-op.org/ojs/index.php/ocp/article/download/2897/2928/52965
06_llms4ol_2024_overview.pdf	2024	overview	LLMs4OL 2024 Overview: The 1st Large Language Models for Ontology Learning Challenge	https://www.tib-op.org/ojs/index.php/ocp/article/download/2473/2306/36046
07_llms4ol_2024_datasets.pdf	2024	benchmark	LLMs4OL 2024 Datasets: Toward Ontology Learning with Large Language Models	https://www.tib-op.org/ojs/index.php/ocp/article/download/2480/2308/36048
08_silp_nlp_llms4ol_2024_ontology_learning_through_prompts.pdf	2024	prompt-pipeline	silp_nlp at LLMs4OL 2024 Tasks A, B, and C: Ontology Learning through Prompts with LLMs	https://www.tib-op.org/ojs/index.php/ocp/article/download/2485/2310/36050
09_phoenixes_llms4ol_2024_rag_for_ontology_learning.pdf	2024	rag-taxonomy-relation	Phoenixes at LLMs4OL 2024 Tasks A, B, and C: Retrieval Augmented Generation for Ontology Learning	https://www.tib-op.org/ojs/index.php/ocp/article/download/2482/2311/36053
10_ghost_llms4ol_2024_prompt_tuning_term_typing.pdf	2024	term-typing	The Ghost at LLMs4OL 2024 Task A: Prompt-Tuning-Based Large Language Models for Term Typing	https://www.tib-op.org/ojs/index.php/ocp/article/download/2486/2315/36073
11_daselab_llms4ol_2024_term_typing.pdf	2024	term-typing	DaSeLab at LLMs4OL 2024 Task A: Towards Term Typing in Ontology Learning	https://www.tib-op.org/ojs/index.php/ocp/article/download/2489/2314/36072
12_end_to_end_ontology_learning_with_llms.pdf	2024	end-to-end	End-to-End Ontology Learning with Large Language Models	https://arxiv.org/pdf/2410.23584.pdf
13_llms4life_ontology_learning_in_life_sciences.pdf	2024	domain-specific	LLMs4Life: Large Language Models for Ontology Learning in Life Sciences	https://arxiv.org/pdf/2412.02035.pdf
14_wordnet_multiple_hypernymy_resolution.pdf	2025	lexical-resource-relation-prediction	Large Language Models for Lexical Resource Enhancement: Multiple Hypernymy Resolution in WordNet	https://aclanthology.org/2025.ranlp-stud.3.pdf
15_wmt25_terminology_translation_task_findings.pdf	2025	terminology-translation	Findings of the WMT25 Terminology Translation Task: Terminology is Useful Especially for Good MTs	https://aclanthology.org/2025.wmt-1.30.pdf
16_it_takes_two_terminology_aware_translation.pdf	2025	terminology-translation	It Takes Two: A Dual Stage Approach for Terminology-Aware Translation	https://aclanthology.org/2025.wmt-1.112.pdf
17_multitan_wmt25_terminology_shared_task.pdf	2025	terminology-translation	Fine-tuning NMT Models and LLMs for Specialised EN-ES Translation Using Aligned Corpora, Glossaries, and Synthetic Data: MULTITAN at WMT25 Terminology Shared Task	https://aclanthology.org/2025.wmt-1.108.pdf
18_legistyr_terminology_constrained_translation.pdf	2025	terminology-translation	The LegISTyr Test Set: Investigating Off-the-Shelf Instruction-Tuned LLMs for Terminology-Constrained Translation in a Low-Resource Language Variety	https://aclanthology.org/2025.termtrends-1.1.pdf
